iter	Passed	Remaining
399	57010	228042
400	57171	227972
401	57309	227811
402	57447	227653
403	57597	227540
404	57735	227376
405	57866	227189
406	57998	227006
407	58165	226958
408	58307	226814
409	58446	226658
410	58579	226479
411	58708	226282
412	58840	226100
413	58973	225924
414	59104	225737
415	59248	225598
416	59383	225430
417	59950	226894
418	60723	229125
419	60888	229057
420	61432	230406
421	61827	231193
422	62222	231973
423	62622	232767
424	63027	233574
425	63351	234072
426	63869	235283
427	64216	235860
428	64530	236310
429	64886	236910
430	65192	237325
431	65532	237857
432	65959	238704
433	66294	239208
434	66588	239563
435	66899	239978
436	67167	240235
437	67414	240415
438	67665	240607
439	67966	240972
440	68249	241271
441	68482	241392
442	68797	241801
443	69100	242162
444	69408	242540
445	69717	242916
446	69969	243094
447	70250	243368
448	70579	243806
449	70749	243693
450	71137	244329
451	71449	244699
452	71745	245010
453	72014	245228
454	72312	245544
455	72562	245692
456	72785	245750
457	73051	245952
458	73378	246352
459	73643	246547
460	73892	246680
461	74096	246667
462	74323	246727
463	74522	246695
464	74739	246719
465	75003	246899
466	75267	247076
467	75558	247339
468	75757	247301
469	76034	247515
470	76267	247586
471	76490	247621
472	76736	247732
473	76998	247889
474	77258	248039
475	77440	247940
476	77670	247990
477	77864	247929
478	78190	248283
479	78385	248221
480	78551	248067
481	78689	247822
482	78821	247562
483	78953	247299
484	79082	247032
485	79205	246743
486	79336	246480
487	79457	246187
488	79596	245952
489	79713	245649
490	79837	245364
491	79959	245078
492	80097	244843
493	80234	244600
494	80365	244342
495	80500	244099
496	80663	243938
497	80799	243696
498	80937	243462
499	81083	243251
500	81220	243013
501	81370	242814
502	81511	242590
503	81664	242401
504	81811	242193
505	81946	241954
506	82082	241713
507	82217	241474
508	82352	241233
509	82483	240980
510	82599	240686
511	82763	240531
512	82906	240316
513	83056	240121
514	83213	239944
515	83361	239745
516	83512	239551
517	83659	239349
518	83828	239210
519	83981	239025
520	84139	238853
521	84303	238697
522	84462	238529
523	84622	238363
524	84777	238184
525	84976	238128
526	85116	237904
527	85260	237696
528	85400	237474
529	85543	237262
530	85694	237071
531	85831	236844
532	85989	236673
533	86132	236462
534	86268	236229
535	86402	235995
536	86551	235801
537	86685	235566
538	86755	235156
539	86907	234973
540	87048	234757
541	87185	234531
542	87283	234202
543	87424	233988
544	87554	233747
545	87692	233525
546	87824	233288
547	87983	233123
548	88123	232909
549	88268	232708
550	88418	232518
551	88554	232295
552	88687	232063
553	88815	231818
554	88956	231608
555	89116	231447
556	89225	231153
557	89362	230933
558	89501	230718
559	89652	230534
560	89792	230323
561	89935	230119
562	90090	229947
563	90225	229723
564	90328	229418
565	90459	229186
566	90590	228953
567	90728	228737
568	90864	228518
569	91002	228303
570	91140	228090
571	91276	227870
572	91417	227666
573	91549	227438
574	91688	227227
575	91826	227014
576	91982	226848
577	92157	226726
578	92360	226675
579	92601	226713
580	92819	226696
581	93082	226787
582	93425	227073
583	93721	227242
584	93976	227309
585	94234	227385
586	94502	227481
587	94769	227575
588	95022	227634
589	95278	227698
590	95541	227780
591	95826	227912
592	96090	227992
593	96323	227997
594	96588	228078
595	96791	228011
596	97012	227986
597	97203	227891
598	97407	227825
599	97649	227848
600	97859	227795
601	98057	227715
602	98261	227647
603	98489	227635
604	98749	227694
605	98960	227641
606	99204	227662
607	99406	227587
608	99600	227495
609	99818	227454
610	100023	227386
611	100221	227299
612	100427	227231
613	100617	227127
614	100853	227125
615	101056	227048
616	101267	226990
617	101465	226901
618	101674	226837
619	101918	226851
620	102132	226796
621	102306	226652
622	102482	226515
623	102683	226429
624	102936	226460
625	103153	226409
626	103422	226473
627	103671	226492
628	103929	226530
629	104131	226444
630	104295	226276
631	104480	226153
632	104681	226065
633	104865	225939
634	105069	225859
