iter	R2	RMSE
0	0.04385810794	0.1387993713
1	0.08520279734	0.1357652863
2	0.1242274675	0.1328378952
3	0.1613131312	0.12999488
4	0.1960565101	0.1272738223
5	0.2319440829	0.1244006774
6	0.2654122098	0.1216601026
7	0.2981689925	0.1189166323
8	0.3289997012	0.1162753572
9	0.3582501934	0.1137127595
10	0.385669532	0.111257002
11	0.4115883269	0.1088847267
12	0.4359071267	0.1066109055
13	0.4593331724	0.1043737261
14	0.4811406734	0.1022471331
15	0.5016389999	0.1002070668
16	0.5208520708	0.09825646457
17	0.5393649348	0.09633959653
18	0.5564600803	0.09453501173
19	0.5728939799	0.09276714097
20	0.5882476395	0.09108447815
21	0.6026347131	0.08947903429
22	0.6161353917	0.08794585229
23	0.6288447029	0.08647770534
24	0.6407941746	0.08507422692
25	0.6524342693	0.08368445659
26	0.6634324261	0.08234978351
27	0.6735834218	0.08109842681
28	0.6833450544	0.07987658028
29	0.6925716836	0.07870426347
30	0.7012711361	0.07758270529
31	0.7095519796	0.07649984163
32	0.7171119224	0.07549768724
33	0.7261503824	0.0742817959
34	0.735071865	0.07306179987
35	0.7437884903	0.07184981321
36	0.7516455219	0.07073955497
37	0.7592749762	0.06964451924
38	0.7667197756	0.06855912843
39	0.7731360842	0.06760970448
40	0.7794921264	0.06665586617
41	0.7855879857	0.0657280706
42	0.7913760618	0.06483483283
43	0.7967909685	0.06398789577
44	0.80171865	0.06320730293
45	0.8067838564	0.06239474736
46	0.8113580871	0.06165175183
47	0.8156794461	0.06094150974
48	0.8196934576	0.06027428515
49	0.8233581223	0.05965861434
50	0.8271089172	0.05902182348
51	0.830777352	0.05839229826
52	0.8341542262	0.05780674694
53	0.8372719138	0.05726082277
54	0.840046495	0.05677056365
55	0.842905582	0.05626090354
56	0.8455792773	0.05578007785
57	0.8483410494	0.05527902176
58	0.8509446505	0.05480246701
59	0.8533030399	0.0543671895
60	0.8554107772	0.05397520336
61	0.8575131692	0.05358135464
62	0.8594482865	0.05321626595
63	0.8614393083	0.05283799715
64	0.8633810665	0.05246646102
65	0.8650020558	0.05215427386
66	0.8667189995	0.05182155585
67	0.8682957662	0.05151410915
68	0.8697274843	0.05123334665
69	0.8712319349	0.05093665373
70	0.8726975794	0.05064594237
71	0.8740591453	0.05037437186
72	0.8754104936	0.05010338389
73	0.8771771054	0.04974689625
74	0.8789039799	0.04939594072
75	0.8803402958	0.04910212506
76	0.8819253367	0.0487758317
77	0.8835214934	0.04844502926
78	0.8847760211	0.04818343523
79	0.8861233028	0.04790090922
80	0.8875601149	0.0475977608
81	0.8886549849	0.04736545515
82	0.8898942961	0.04710112004
83	0.8911704293	0.04682737182
84	0.8921498182	0.04661618906
85	0.8931009251	0.04641018494
86	0.893953478	0.04622474675
87	0.8947978915	0.04604034272
88	0.895594078	0.04586579147
89	0.8963603791	0.04569716245
90	0.8971111171	0.04553135256
91	0.8979407141	0.04534742053
92	0.8984897949	0.04522527105
93	0.8991628224	0.04507509662
94	0.8999859477	0.04489074756
95	0.9006990948	0.0447304152
96	0.9012986661	0.04459517131
